"Id","Sales"
1,4718
24825,4812
5993,3855
37665,5405
18833,3816
12841,5498
19689,3833
857,4726
15409,5125
38521,6322
13697,5750
7705,3952
39377,4874
20545,3985
1713,5182
16265,4619
33385,4589
27393,4489
2569,5870
40233,4761
21401,4494
35953,5025
34241,4436
3425,4668
22257,4427
9417,4564
30817,3887
10273,4683
35097,4976
23113,4860
4281,4536
14553,7172
8561,4268
29961,3891
25681,5240
5137,4185
23969,4778
36809,5066
17977,3859
26537,5881
11985,5165
6849,3902
17121,4422
29105,4109
32529,4025
11129,5099
31673,3862
28249,4366
23970,7796
1714,8645
24826,8127
18834,5398
38522,10010
5994,5441
35954,7987
2,7871
39378,5396
4282,4167
29106,5925
8562,5689
9418,5241
25682,8700
19690,5451
34242,4212
16266,4380
22258,4033
26538,9608
20546,5532
10274,4293
30818,5497
37666,8768
33386,5366
14554,10823
858,8117
21402,5210
2570,9816
11130,8202
5138,5841
40234,4414
32530,5855
36810,8326
11986,8285
15410,5635
35098,7961
29962,5548
23114,7786
17978,5631
31674,5628
28250,4059
6850,5542
13698,8756
27394,5355
7706,5622
17122,5986
12842,8369
3426,5362
4283,5621
23971,9315
24827,9218
1715,10047
8563,7937
5995,7050
29107,7753
38523,11469
34243,5882
22259,5751
35955,9273
3,8863
20547,8004
39379,3510
16267,5908
26539,11019
23115,9491
18835,7544
25683,9983
37667,10140
859,9118
17123,7679
5139,7581
19691,7906
9419,3446
7707,7625
11987,8949
10275,5762
35099,9960
33387,3569
14555,11407
21403,3413
2571,11009
11131,9210
29963,7640
15411,3377
28251,5741
32531,8101
13699,9772
36811,9416
30819,7563
40235,6543
6851,7223
12843,8865
27395,3559
17979,7424
3427,3456
31675,8049
860,6497
24828,6325
5996,5050
4284,2966
26540,8365
23972,6454
1716,7221
28252,2952
4,6677
23116,5865
37668,6957
16268,3158
35956,6556
11132,6124
19692,4394
5140,4636
22260,2998
32532,4618
11988,6913
30820,4370
39380,4814
10276,3091
33388,4731
14556,8821
40236,3132
25684,7103
6852,4748
17124,4692
34244,3034
15412,5116
3428,4731
20548,4543
9420,4582
17980,4677
21404,4631
35100,5910
7708,4799
8564,4927
29108,4393
2572,8431
29964,4684
36812,6362
38524,8466
27396,4600
13700,7604
31676,4561
12844,7081
18836,4360
16269,5904
23973,6541
4285,5561
11989,7314
11133,7349
861,6605
23117,6957
1717,7298
5997,5444
5,6614
17125,6280
34245,5717
22261,5660
21405,3167
26541,9000
9421,3281
30821,5378
10277,5584
35101,6906
33389,3450
35957,6931
5141,5713
12845,8476
6853,5605
36813,7261
20549,5697
3429,3176
32533,5832
2573,9016
8565,5947
24829,6664
29109,5771
18837,5283
25685,7226
15413,3300
40237,6010
38525,9836
7709,5800
17981,5491
39381,3498
27397,3236
29965,5454
31677,5430
19693,5392
14557,10643
28253,5651
13701,8279
37669,7590
24830,5631
34246,4657
35102,5866
10278,4844
20550,4909
5142,5018
16270,4915
22262,4651
15414,5338
30822,4726
11990,6129
6,5816
11134,6092
8566,5043
862,5727
29966,4653
13702,6509
17126,5016
26542,7348
39382,4951
1718,6414
17982,4686
33390,5022
27398,4952
29110,4897
2574,7633
19694,4866
40238,4809
35958,5834
3430,5050
28254,4611
9422,4825
32534,4957
36814,5878
18838,4683
23118,5784
4286,4732
14558,8149
38526,7469
12846,6317
6854,4779
25686,6295
21406,4928
23974,5621
7710,4964
37670,6338
31678,4931
5998,4822
5143,6808
22263,5905
4287,6082
26543,9281
10279,6058
24831,8693
27399,3874
29111,6835
18839,6884
23975,8277
11135,8173
25687,8681
19695,6657
30823,6968
13703,8492
15415,4125
33391,3907
9423,3905
29967,6900
17983,6879
14559,10908
35959,8361
2575,9701
8567,6860
32535,6895
6855,7211
863,8578
3431,3883
39383,3988
23119,8158
21407,3844
20551,6749
40239,6256
16271,5972
7711,6950
37671,8671
12847,8696
28255,6043
31679,6807
5999,6939
36815,7259
35103,8388
17127,6930
1719,8511
11991,8389
34247,6135
7,8175
38527,9844
33392,4527
26544,10322
15416,4762
23120,8202
9424,4268
10280,5792
3432,4436
22264,5950
35960,8191
13704,7184
27400,4539
24832,8389
28256,5906
25688,8694
4288,5874
2576,10732
7712,5865
6856,6026
30824,5953
5144,6011
11136,8339
39384,4593
14560,11979
21408,4551
35104,8171
40240,6300
31680,5935
864,8429
20552,6130
8568,6078
23976,8338
29968,5798
36816,8262
38528,10916
17128,6335
34248,5894
16272,6449
29112,5948
8,8368
32536,6037
12848,8477
11992,8417
17984,5920
6000,5954
19696,5920
18840,5830
37672,8645
1720,8977
9425,4154
23121,6242
7713,3557
22265,4233
23977,5939
13705,6263
24833,6191
5145,3991
35105,6238
3433,4077
30825,3592
10281,4302
34249,4283
28257,4235
33393,4184
11137,6174
15417,5079
865,6248
35961,6087
25689,6348
27401,4125
4289,4143
39385,4202
38529,8223
20553,3800
36817,6541
2577,7761
29969,3590
32537,3895
37673,6388
19697,3590
14561,8276
21409,4110
12849,6378
40241,4403
18841,3631
31681,3609
16273,4617
26545,7698
29113,4002
17985,3700
8569,3886
11993,6135
1721,6338
6857,3516
6001,3491
17129,4388
9,5799
23122,6136
39386,4959
35106,5976
13706,6481
24834,6090
36818,6051
8570,5094
3434,4729
4290,3384
27402,4725
26546,7777
19698,4477
5146,4922
40242,3575
2578,7859
29970,4730
33394,4794
30826,4715
15418,5155
25690,6580
28258,3399
38530,7703
9426,4882
32538,4958
6002,4767
31682,4694
37674,6478
35962,6012
21410,4678
34250,3407
22266,3402
17130,5021
29114,4962
866,6098
16274,3650
7714,4766
14562,9716
10282,3484
18842,4501
17986,4653
6858,4741
1722,6507
11138,6261
23978,6009
20554,4801
10,6028
11994,6251
12850,6263
3435,4046
8571,5554
33395,4336
32539,5581
5147,5806
30827,5267
2579,9303
25691,7323
19699,5221
7715,5380
22267,5495
35107,7508
16275,6208
867,6992
23123,7256
9427,3975
28259,5550
10283,5628
29115,5781
4291,5508
21411,4227
34251,5613
11139,7499
17131,6137
36819,7317
26547,9078
18843,5327
13707,7549
39387,4368
37675,7539
11995,7283
6003,5438
14563,11899
23979,7204
40243,5954
20555,5695
35963,7324
29971,5543
15419,4618
6859,5501
38531,9372
12851,7175
27403,4218
17987,5636
24835,7121
11,7035
1723,7355
31683,5274
8572,6405
22268,5227
23124,7408
33396,4472
40244,5802
3436,4251
7716,6347
13708,7977
5148,6302
28260,5215
2580,10098
29972,6387
9428,4255
20556,6555
36820,7288
35964,7694
23980,7446
15420,4264
6860,6364
32540,6599
19700,6469
39388,4319
35108,7571
10284,5480
29116,6379
16276,5406
12,7735
21412,4249
4292,5091
11140,7790
17132,6400
12852,8334
26548,9850
868,7867
30828,6255
27404,4308
24836,7496
31684,6266
6004,6224
34252,5313
14564,10735
18844,6203
37676,7874
38532,10368
17988,6266
1724,8338
11996,8059
25692,7810
21413,4225
24837,7012
3437,4301
9429,4164
23981,7070
35109,7356
39389,4294
4293,4171
7717,5302
34253,4165
15421,4478
22269,4178
28261,4209
26549,9243
13709,7767
36821,7450
23125,7167
16277,4584
29117,5441
40245,4445
14565,9658
35965,7263
11141,7518
17133,5714
8573,5505
32541,5423
5149,5538
30829,5218
20557,5454
37677,7564
10285,4258
11997,7633
25693,7434
12853,7651
29973,5290
2581,9405
19701,5244
27405,4212
6861,5263
38533,9654
33397,4272
13,7257
1725,7393
869,7124
31685,5224
17989,5412
6005,5240
18845,5219
5150,6616
3438,5812
13710,8597
39390,5600
35110,8363
2582,9924
23982,8651
8574,7023
36822,8561
23126,8287
26550,9780
30830,7163
14566,9710
29974,7378
21414,6079
4294,5505
11142,8635
22270,5528
28262,5552
32542,7230
19702,6984
38534,9760
24838,8588
10286,5499
29118,6734
1726,8734
20558,7378
16278,5949
40246,5505
34254,5464
25694,8775
15422,6158
12854,8516
14,8410
18846,7181
870,8321
9430,5670
33398,5931
6006,7497
37678,8726
11998,8656
6862,7195
35966,8723
7718,7079
17134,7009
27406,5891
31686,7301
17990,7533
3439,3800
16279,5102
23127,6340
13711,6440
30831,3620
22271,4675
20559,4061
35111,6509
34255,4685
39391,4289
23983,6230
28263,4586
15423,4532
29975,3700
5151,4112
36823,6358
10287,4854
26551,7935
871,6120
11999,6150
1727,6413
4295,4582
35967,6208
2583,8185
8575,3998
11143,6433
18847,3693
19703,3778
38535,8192
24839,6264
29119,4113
27407,3828
17991,3747
17135,4473
40247,4889
14567,10190
25695,6554
33399,3876
15,5998
12855,6280
32543,3953
21415,3831
6863,3777
9431,4068
7719,4006
6007,3828
37679,6577
31687,3757
29976,3718
10288,3638
3440,4017
8576,4080
15424,4634
17136,4503
872,5051
5152,4293
35112,5360
28264,3384
32544,4004
17992,3810
20560,3952
23128,5283
29120,4248
21416,4112
2584,6934
22272,3381
11144,5453
6864,3688
26552,6836
36824,5356
24840,5139
27408,4086
33400,4122
39392,4301
40248,3739
4296,3437
31688,3708
35968,5303
23984,5226
12856,5380
9432,4171
16,4967
38536,7003
34256,3507
14568,8169
7720,3782
25696,5401
30832,3638
37680,5633
1728,5354
18848,3664
6008,3767
19704,3662
13712,5688
12000,5318
16280,3601
3441,4745
15425,5287
33401,4662
10289,4423
22273,4328
28265,4357
23129,6061
9433,4626
30833,4063
34257,4298
8577,4423
11145,6475
27409,4652
19705,3963
35113,6209
24841,5980
36825,6249
39393,4721
29121,4696
14569,9503
21417,4605
2585,8422
4297,4429
35969,6238
26553,8434
